xCoord,yCoord,zCoord,Deformation
-23.9167,6.18051,103.851,-0.048095
-27.4842,-2.50554,79.9583,0.0519559
-4.83268,-26.0409,25.4287,0.0581408
25.7364,-11.0924,31.4106,0.129303
1.02352,-25.9334,6.60648,-0.0517583
-25.9911,-10.4201,14.3876,-0.0336504
-10.8608,-24.1369,25.2928,0.0562663
20.049,17.2515,4.12281,0.0586421
27.1281,-3.68577,25.2776,-0.0693203
9.64305,25.4271,62.2043,0.0271039
26.7002,-5.00384,43.5958,0.0726845
-11.8386,25.1589,43.1365,0.124419
2.08768,-25.5772,5.96179,0.0493438
15.7955,-21.1521,85.1878,0.0594032
-26.6113,0.933887,5.93625,0.0662789
-21.5148,15.3942,0.710529,-0.010006
27.1079,1.74683,66.5027,-0.0162444
27.6512,7.30341,65.1492,-0.000580788
-2.4364,-26.417,68.7054,-0.000383615
20.1082,18.5589,50.8271,-0.0507681
16.9659,-22.2961,48.1541,-0.0377389
26.9773,-4.96647,36.4875,0.0453303
23.7254,11.9464,86.6667,0.0525835
16.6546,19.0006,101.386,0.00954723
22.3139,15.6072,69.1401,-0.0144547
15.2444,-20.8772,90.6212,0.0199964
24.0694,-12.1735,89.518,0.0740449
24.174,-13.8546,73.0801,0.08619
-23.492,-15.0654,19.6825,0.0294352
-21.8952,12.7221,100.094,0.00099504
2.54033,-25.9151,80.5762,0.0379221
2.3636,-27.7143,52.2256,0.0214942
15.4676,22.3252,69.0308,0.0418947
28.4239,-0.54498,72.2784,-0.0332586
-17.5417,-19.7766,16.3821,0.100074
-5.68972,-24.6012,-4.7478,-0.000884295
0.165053,25.0361,11.6044,0.0453727
25.4102,-9.28261,88.9964,-0.00199354
-9.94847,24.5003,64.6979,-0.0417497
27.3367,3.39012,34.6237,0.0296233
-16.9772,20.6648,32.0677,0.0796568
16.6044,-19.333,9.26679,0.0406032
27.078,4.73905,25.5422,-0.10529
7.64957,25.3057,75.4123,0.112008
-19.6325,-15.7699,-7.80429,0.000927091
-27.2819,-5.96619,25.5796,-0.0318806
-17.2094,17.8473,103.745,-0.0397836
-25.4817,11.2961,45.2081,0.0783896
-11.697,-24.4228,54.9901,0.0299149
