Time(s),Extension(mm),ThinMembraneLoad(N),ThickMembraneLoad(N)
53.4,53.39999,7.03566,19.3602
53.5,53.50005,7.05345,19.34726
53.6,53.60005,7.06462,19.37637
53.7,53.69993,7.07426,19.3879
53.8,53.80006,7.0828,19.39717
53.9,53.90005,7.09284,19.41014
54,54.00006,7.09709,19.41386
54.1,54.10005,7.1065,19.42562
54.2,54.19993,7.02298,19.45124
54.3,54.30012,7.0908,19.4623
54.4,54.39999,7.0738,19.46934
54.5,54.50006,7.09518,19.48024
54.6,54.59999,7.10661,19.49497
54.7,54.70006,7.10073,19.51874
54.8,54.80005,7.13295,19.51919
54.9,54.90005,7.12647,19.54145
55,55,7.12925,19.558
55.1,55.09993,7.12739,19.55869
55.2,55.20005,7.14181,19.58434
55.3,55.30005,7.16624,19.59093
55.4,55.39999,7.13856,19.61078
55.5,55.49999,7.14579,19.61695
55.6,55.60006,7.17576,19.63341
55.7,55.70006,7.17471,19.63975
55.8,55.80006,7.18472,19.66102
55.9,55.89993,7.20439,19.67348
56,56.00005,7.20326,19.68391
56.1,56.10005,7.21623,19.6967
56.2,56.20006,7.16935,19.70326
56.3,56.30005,7.18693,19.73571
56.4,56.39993,7.21801,19.72794
56.5,56.50012,7.06199,19.7583
56.6,56.60005,7.08835,19.75612
56.7,56.69999,7.10511,19.7702
56.8,56.79999,7.13004,19.79478
56.9,56.89999,7.14843,19.79066
57,57.00005,7.16449,19.81164
57.1,57.10006,7.17457,19.8248
57.2,57.19987,7.19759,19.83947
57.3,57.30005,7.19677,19.85447
57.4,57.40006,7.21989,19.86263
57.5,57.50006,7.22783,19.87371
57.6,57.60006,7.19627,19.89361
57.7,57.69993,7.22781,19.89393
57.8,57.80006,7.22698,19.91722
57.9,57.90005,7.24992,19.93459
58,58.00006,7.264,19.94172
58.1,58.09999,7.26578,19.9638
58.2,58.20006,7.27818,19.95974
58.3,58.30012,7.27503,19.9824
58.4,58.39999,7.30376,19.99845
58.5,58.49999,7.31303,20.0016
58.6,58.60006,7.28943,20.01901
58.7,58.70006,7.29659,20.01742
58.8,58.80006,7.31192,20.04505
58.9,58.89993,7.31555,20.05215
59,58.99999,7.24334,20.06163
59.1,59.10011,7.26049,20.07776
59.2,59.20005,7.27572,20.09573
59.3,59.29999,7.30416,20.09553
59.4,59.39993,7.31143,20.12475
59.5,59.50006,7.34282,20.11562
59.6,59.60005,7.33333,20.1452
59.7,59.70005,7.34462,20.14489
59.8,59.79999,7.35602,20.15576
59.9,59.89999,7.36317,20.17332
60,60.00006,7.37542,20.19137
